,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
394,TextComment_CC,2022-10-27,2560,2023-02-17,1,1449
395,TextComment_CC,2022-10-27,8978,2023-05-05,64,9102
396,TextComment_CC,2022-10-28,6568,2022-11-02,2,4546
397,TextComment_CC,2022-10-31,4273,2022-11-22,1,4188
398,TextComment_CC,2022-10-31,6942,2022-11-23,1,3389
399,TextComment_CC,2022-10-31,6461,2023-06-30,19,4952
400,TextComment_CC,2022-10-31,5740,2023-07-14,10,2414
401,TextComment_CC,2022-11-01,8948,2022-11-08,1,10598
402,TextComment_CC,2022-11-01,3559,2023-05-10,4,2059
403,TextComment_CC,2022-11-01,7402,2023-05-16,19,4665
404,TextComment_CC,2022-11-01,2210,2023-06-14,8,2946
405,TextComment_CC,2022-11-02,6049,2022-11-08,2,48786
406,TextComment_CC,2022-11-02,3479,2022-11-08,1,13451
407,TextComment_CC,2022-11-02,6315,2022-11-10,2,6401
408,TextComment_CC,2022-11-02,3490,2022-12-21,2,4265
409,TextComment_CC,2022-11-02,4661,2023-05-10,4,922
410,TextComment_CC,2022-11-03,7450,2022-11-11,1,1452
411,TextComment_CC,2022-11-04,123010,2022-11-07,1,3365
412,TextComment_CC,2022-11-04,1025,2022-11-08,1,3300
413,TextComment_CC,2022-11-04,1866,2022-11-10,1,5992
414,TextComment_CC,2022-11-04,6572,2022-12-02,2,3246
415,TextComment_CC,2022-11-04,1888,2023-03-21,1,351
416,TextComment_CC,2022-11-04,123063,2023-05-11,10,4338
417,TextComment_CC,2022-11-07,3427,2023-01-10,1,2215
418,TextComment_CC,2022-11-07,3884,2023-02-08,4,2491
419,TextComment_CC,2022-11-07,5699,2023-02-28,5,3293
420,TextComment_CC,2022-11-08,1729,2022-11-10,1,4234
